CH0_hdr_mm,CH1_hdr_mm,CH2_hdr_mm,CH3_hdr_mm,CH4_hdr_mm,CH5_hdr_mm,CH6_hdr_mm,CH7_hdr_mm,CH8_hdr_mm,CH9_hdr_mm,CH10_hdr_mm,CH11_hdr_mm
float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64
1377.0,372.0,0.0,29567.0,0.0,745.0,245.0,137.0,337.0,108.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
